Are we going to pass?	Papasa ba tayo?			Where is my ballpen?	Nasaan yung ballpen ko?			I have class tonight.	May klase ako mamayang gabi.
Am I going to pass?	Papasa ba ako?			Have you seen my ballpen?	Nakita mo ba yung ballpen ko?			Will you attend class later tonight?	Papasok ka ba mamayang gabi?
I will study tomorrow.	Mag-aaral ako bukas.			Do you have a sharpener?	May pantasa ka ba?			Where is the attendance sheet?	Nasaan yung "attendance sheet"?
When is the exam?	Kailan ang pagsusulit?			Will there be a quiz tomorrow?	May quiz ba bukas?			You should sign the attendance sheet now.	Dapat ka nang pumirma sa attendance sheet.
Why is the exam hard?	Bakit ang hirap ng pagsusulit?			Will there be an exam tomorrow?	May pagsusulit ba bukas?			I have class tonight.	May pasok ako mamayang gabi.
Why is the exam difficult?	Bakit ang hirap ng pagsusulit?			Have you done the homework?	Nagawa mo na ba ang takdang-aralin?			Can we meet later at three o'clock?	Maari ba tayong magkita mamayang alas tres?
Give me paper.	Pahingi ng papel.			Do you have groupmates already?	May kagrupo ka na ba?			Sorry, I can't.	Paumanhin, hindi ko kaya.
Follow the instructions.	Sundin ang panuto.			What score did you get?	Ilan ang nakuha mong marka?			Sorry, I am unavailable at three o'clock.	Paumanhin, hindi ako pwede ng alas tres.
What color is this?	Anong kulay ito?			What is your score?	Ilan ang nakuha mong marka?			Sorry, I am unavailable.	Paumanhin,  hindi ako pwede.
I will go to school tomorrow.	Papasok ako sa paaralan mamaya.			Have you studied?	Nag-aral ka na?			I will attend class later tonight.	Papasok ako mamayang gabi.
I can not find my pencil.	Hindi ko makita ang lapis ko.			Have you studied already?	Nag-aral ka na ba?			Here is the attendance sheet.	Ito ang attendance sheet.
The ballpen has no more ink.	Ubos na ang tinta ng ballpen.			Have you copied it?	Nakopya mo ba?			The attendance sheet is with him.	Nasa kanya yung attendance sheet.
I will fail again.	Babagsak na naman ako.			Have you copied it already?	Nakopya mo na?			The attendance sheet is with her.	Nasa kanya yung attendance sheet.
I will fail.	Babagsak ako.			I bought food from the canteen.	Bumili ako ng pagkain sa kantin.			What if I don't go to class later?	Huwag kaya ako pumasok mamaya?
I will pass.	Papasa ako.			Listen to your teacher.	Makinig ka sa iyong guro.			What if I don't attend class later tonight?	Huwag kaya ako pumasok mamaya?
I barely passed.	Pasang awa ako.			Don't sleep in class.	Huwag kang matulog sa klase.			Please pass the attendance sheet.	Paki-abot yung attendance sheet.
I almost passed.	Muntik na akong pumasa.			Don't sleep in your classes.	Huwag mong tulugan ang mga klase mo.			I need to attend class tomorrow.	Kailangan kong pumasok bukas.
I almost failed.	Muntik na akong bumagsak.			It's so silent in the library.	Ang tahimik sa silid-aklatan.			I have class tomorrow.	May klase ako bukas.
What have you finished?	Ano na natapos mo?			Read in the library.	Magbasa ka sa silid-aklatan.			He has class tomorrow.	May klase siya bukas.
No erasures.	Bawal magbura.			This class is so silent.	Masyadong tahimik ang klaseng ito.			She has class tomorrow.	May klase siya bukas.
Cheating is not allowed.	Bawal mandaya.			Don't be shy in class.	Huwag kang mahiya sa klase.			I have classes tomorrow.	May mga klase ako bukas.
Cheating is not allowed.	Bawal ang pandaraya.			Don't cheat in the exam.	Huwag kang mandaya sa pagsusulit.			He has classes tomorrow.	May mga klase siya bukas.
Finished or not finished.	Tapos o hindi tapos.			You cheated in the exam!	Nandaya ka sa pagsusulit!			She has classes tomorrow.	May mga klase siya bukas.
The room is hot.	Ang init sa kwarto.			This classroom is so small!	Ang liit liit naman ng silid-aralan na ito!			Who is our professor for this class?	Sino ang propesor natin sa klaseng ito?
What time will you come?	Anong oras ka papasok?			Somebody took my paper again.	May kumuha na naman ng papel ko.			Why are you late for class?	Bakit ka nahuli sa klase?
I feel lazy to go.	Tinatamad akong pumasok.			Our teacher is so kind today.	Ang bait ng guro natin ngayon.			I was late in my class earlier.	Nahuli ako sa klase ko kanina.
What is your lunch?	Anong baon mo?			You came in so early.	Ang aga mo naman pumasok.			Sorry, I am late.	Paumanhin, ako ay nahuli.
The teacher is good at teaching.	Magaling magturo ang guro.			I'm sorry, I fell asleep.	Pasensya na, nakatulog ako.			Sorry, I will be late.	Paumanhin, ako ay mahuhuli.
I did not understand anything.	Wala akong naintindihan.			I'm sorry, I fell asleep.	Pasensya na, naka-idlip ako.			Sorry, I will arrive late.	Paumanhin, ako ay mahuhuli ng dating.
Teach this.	Paturo nito.			Where are you from?	Tagasaan ka?			Sorry, I will be arriving late.	Paumanhin, ako ay mahuhuli ng dating.
I was not able to answer anything again.	Wala na naman akong nasagutan.			Where are you from?	Tagasaan ka ba?			Do you have class later tonight?	May klase ka ba mamayang gabi?
Is there class?	May klase ba?			What did you eat?	Ano'ng kinain mo?			Do you have class tonight?	May klase ka ba sa gabi?
Did the professor arrive already?	Dumating na ba yung propesor?			Can I eat there?	Pwede ba akong kumain doon?			I have class later tonight.	May klase ako mamayang gabi.
Where is our class?	Saan klase natin?			Can I eat here?	Pwede ba akong kumain dito?			Do you know who the professor is for this class?	Alam mo ba kung sino ang propesor para sa klaseng ito?
Write on the blackboard.	Isulat sa pisara.			Have you seen the show?	Napanood mo na yung palabas?			Do you know the professor for this class?	Kilala mo ba yung propesor para sa klaseng ito?
Chalk is used to write on the black board.	Yeso ang ginagamit na panulat sa pisara.			Have you been to the concert?	Nakapunta ka na sa konsyerto?			I know the professor for this class.	Kilala ko yung propesor para sa klaseng ito.
I want to go to UP.	Gusto kong pumasok sa UP.			Have you played football?	Nakapaglaro ka na ba ng futbol?			I know who the professor for this class is.	Kilala ko kung sino ang propesor para sa klaseng ito.
I want to go to school.	Gusto kong pumasok sa paaralan.			He called me last night.	Tumawag siya sa akin kagabi.			I know who the professor is for this class.	Kilala ko kung sino ang propesor para sa klaseng ito.
I want to write on paper.	Gusto ko magsulat sa papel.			She called me last night.	Tumawag siya sa akin kagabi.			Do we have an assignment today?	Mayroon ba tayong takdang aralin ngayon?
I will write on paper.	Magsusulat ako sa papel.			I'm ready.	Handa na ako.			Do we have an assignment today?	May takdang aralin ba tayo ngayon?
I will write a report.	Magsusulat ako ng isang ulat.			Where have you been?	Saan ka ba galing?			Sorry, I am late.	Pasensya na, ako ay nahuli.
We have only come for a day.	Isang araw pa lang tayo pumapasok.			Let's buy some food.	Bumili tayo ng pagkain.			Sorry, I will be late.	Pasensya na, ako ay mahuhuli.
The two of us will report tomorrow.	Dalawa tayong mag-uulat bukas.			That's easy.	Madali lang iyan.			Sorry, I will arrive late.	Pasensya na, ako ay mahuhuli ng dating.
The three of us will report tomorrow.	Tatlo tayong mag-uulat bukas.			That's easy to learn.	Madali lang matutunan iyan.			Sorry, I will be arriving late.	Pasensya na, ako ay mahuhuli ng dating.
I will study.	Ako ay mag-aaral.			You're so good!	Ang galing mo!			Do we have an assignment to submit today?	Mayroon po ba tayong takdang araling ipapasa ngayon?
I studied.	Ako ay nag-aaral.			This is so hard.	Ang hirap naman nito.			Do we have an assignment to submit today?	May takdang aralin po ba tayong ipapasa ngayon?
I am studying.	Ako ay nag-aaral.			You should have ridden a jeepney.	Dapat sumakay ka ng jeep.			We have an assignment today.	Mayroon tayong takdang aralin ngayon.
I wrote.	Ako ay nagsulat.			Ride a jeepney.	Sumakay ka ng jeep.			We have an assignment today.	May takdang aralin tayo ngayon.
I am writing.	Ako ay nagsusulat.			I thought we were right in there.	Akala ko tama tayo doon.			Do we have an assignment to submit today?	Mayroon ba tayong takdang araling ipapasa ngayon?
I will write.	Ako ay magsusulat.			I thought we were right in there.	Akala ko tama tayo roon.			Do we have an assignment to submit today?	May takdang aralin ba tayong ipapasa ngayon?
I am counting.	Ako ay nagbibilang.			Is it wrong?	Mali ba?			Good morning.	Magandang umaga.
I counted.	Ako ay nagbilang.			Am I mistaken?	Mal ba ako?			Good morning!	Magandang umaga!
I will count.	Ako ay magbibilang.			Was I mistaken	Mali ba ako?			Sit down.	Maupo kayo.
I read.	Ako ay nagbasa.			Did I make anything wrong?	Nagkamali ba ako?			Open your book to the fifth page .	Buksan mo ang iyong aklat sa ika-limang pahina.
I am reading.	Ako ay nagbabasa.			Do not look.	Huwag kang tumingin.			Please open your book to the fifth page.	Paki-buksan ang iyong aklat sa ika-limang pahina.
I will read.	Ako ay magbabasa.			Do not force me.	Huwag mo akong pilitin.			Open your books to the fifth page.	Buksan ang inyong mga aklat sa ika-limang pahina.
I will copy.	Hindi ako kokopya.			Kindly look for my paper.	Hanapin mo nga yung papel ko.			Please open your books to the fifth page.	Paki-buksan ang inyong mga aklat sa ika-limang pahina.
I am copying.	Hindi ako kumokopya.			Kindly put that aside.	Itabi mo nga iyan.			Open your book to page five.	Buksan mo ang iyong aklat sa ika-limang pahina.
I did not copy.	Hindi ako kumopya.			Kindly put those aside.	Itabi mo nga ang mga iyan.			Please open your book to page five.	Paki-buksan ang iyong aklat sa ika-limang pahina.
I wrote few.	Kaunti ang sinulat ko.			Kindly put this aside.	Itabi mo nga ito.			Open your books to page five.	Buksan ang inyong mga aklat sa ika-limang pahina.
I will go.	Ako ay papasok.			Kindly put these aside.	Itabi mo nga ang mga ito.			Please open your books to page five.	Paki-buksan ang inyong mga aklat sa ika-limang pahina.
I am going.	Ako ay pumapasok.			Kindly put this inside.	Ipasok mo nga ito sa loob.			You may sit down.	Maari na kayong umupo.
I went.	Ako ay pumasok.			Kindly put these inside.	Ipasok mo nga ang mga ito sa loob.			You may sit down.	Maari ka nang umupo.
I answered the homework.	Ako ay nagsagot ng takdang-aralin.			Kindly put that inside.	Ipasok mo nga iyan sa loob.			Take your seats.	Maupo kayo.
I am answering the homework.	Ako ay nagsasagot ng takdang-aralin.			Kindly put those inside.	Ipasok mo nga ang mga iyan sa loob.			Take your seat.	Maupo ka.
I will answer the homework.	Ako ay magsasagot ng takdang-aralin.			Do not disturb me.	Huwag mo akong istorbohin.			You may sit down now.	Maari na kayong umupo.
You will study.	Ikaw ay mag-aaral.			You are too slow.	Ang bagal mo naman. 			You may sit down now.	Maari ka nang umupo.
You are studying	Ikaw ay nag-aaral.			That is wrong!	Mali iyan!			Take your seats now.	Maupo na kayo.
You studied.	Ikaw ay nag-aral.			Is this wrong?	Mali ba ito?			Take your seat now.	Maupo ka na.
I go to school.	Ako ay pumapasok sa paaralan.			Is it right?	Tama ba?			Open your book to page one.	Buksan mo ang iyong aklat sa unang pahina.
I went to school.	Ako ay pumasok sa paaralan.			Is this right?	Tama ba ito?			Please open your book to page one.	Paki-buksan ang iyong aklat sa unang pahina.
I will go to school.	Ako ay papasok sa paaralan.			Is that right?	Tama ba iyan?			Open your books to page one.	Buksan ang inyong mga aklat sa unang pahina.
The child went to school.	Ang bata ay pumasok sa eskwela.			My notebook was spilled with water.	Natapunan ng tubig ang notebook ko.			Please open your books to page one.	Paki-buksan ang inyong mga aklat sa unang pahina.
